Order,Dual_Price_USD
1,2.9984
2,6.9104
3,5.852528
4,6.9104
5,2.9984
6,2.9984
7,2.9984
8,6.9104
9,4.9841296
10,2.9984
11,6.6945822
12,2.9984
13,2.9984
14,4.5463407
15,4.9698037
16,2.9984
17,2.9984
18,2.9984
19,2.9984
20,2.9984
21,6.9104
22,6.9104
23,2.9984
24,2.9984
25,1.396
26,4.0693506
27,6.9104
28,2.9984
29,6.9104
30,835.36433
31,3.802304
32,6.9104
33,6.9104
34,2.9984
35,6.9104
36,11.9992
37,2.9984
38,2.9984
39,8.7987363
40,2.9984
41,2.9984
42,6.9104
43,2.9984
44,2.9984
45,2.9984
46,1.4448
47,2.9984
48,2.9984
49,1.4928
50,2.9984
51,2.9984
52,2.9984
53,2.9984
54,2.9984
55,2.9984
56,2.9984
57,2.9984
58,2.9984
59,2.9984
60,4.477968
61,2.9984
62,11.7048
63,2.9984
64,3.2096163
65,2.9984
66,1.396
67,2.9984
68,2.9984
69,2.9984
70,2.3594309
71,2.9984
72,2.9984
73,16.544607
74,2.9984
75,6.9104
76,31.548981
77,2.9984
78,2.9984
79,2.9984
80,2.2131221
81,15.535937
82,2.9984
83,8.9941696
84,1.5416
85,2.9984
86,5.4170129
87,2.9984
88,2.9984
89,2.9984
90,2.9984
91,2.9984
92,2.6879125
93,6.9104
94,3.12664
95,2.9984
96,6.9104
97,4.0768
98,1.4928
99,7.8878616
100,2.9984
101,6.9104
102,6.7918589
103,2.9984
104,2.9984
105,2.9984
106,2.9984
107,2.9984
108,2.9984
109,2.9984
110,2.9984
111,6.9104
112,1.4448
113,2.9984
114,2.9984
115,2.9984
116,2.3759913
117,2.9984
118,4.764864
119,2.9984
120,2.9984
121,2.9984
122,7.0301428
123,2.9984
124,3.6312329
125,2.9984
126,2.9984
127,2.9984
128,3.341536
129,2.9984
130,2.9984
131,3.3064163
132,1.4928
133,2.9984
134,2.9984
135,2.9984
136,6.9104
137,2.9984
138,2.9984
139,2.9984
140,1.396
141,2.9984
142,2.9984
143,2.9984
144,2.9984
145,2.9984
146,2.9984
147,6.9104
148,2.9984
149,2.9984
150,2.9984
151,6.9104
152,3.3473167
153,2.9984
154,2.9984
