Order,Carrier,Cost_USD,TPT_Days,Mode,Rate_Kg
0,V444_0,1.4992,3,AIR,0.0484
1,V444_0,3.4552,3,AIR,0.0824
2,V444_0,2.9262639999999998,3,AIR,0.0484
3,V444_0,3.4552,3,AIR,0.0824
4,V444_0,1.4992,3,AIR,0.0484
5,V444_0,1.4992,3,AIR,0.0484
6,V444_0,1.4992,3,AIR,0.0484
7,V444_0,3.4552,3,AIR,0.0824
8,V444_0,2.492064785638895,3,AIR,0.0484
9,V444_0,1.4992,3,AIR,0.0484
10,V444_4,6.69458215155013,1,AIR,0.91
11,V444_0,1.4992,3,AIR,0.0484
12,V444_0,1.4992,3,AIR,0.0484
13,V444_4,4.546340703563353,1,AIR,0.8476
14,V444_4,4.969803700834703,1,AIR,0.8632
15,V444_0,1.4992,3,AIR,0.0484
16,V444_0,1.4992,3,AIR,0.0484
17,V444_0,1.4992,3,AIR,0.0484
18,V444_0,1.4992,3,AIR,0.0484
19,V444_0,1.4992,3,AIR,0.0484
20,V444_0,3.4552,3,AIR,0.0824
21,V444_0,3.4552,3,AIR,0.0824
22,V444_0,1.4992,3,AIR,0.0484
23,V444_0,1.4992,3,AIR,0.0484
24,V444_4,1.396,1,AIR,0.396
25,V444_0,2.0346753016169576,3,AIR,0.0484
26,V444_0,3.4552,3,AIR,0.0824
27,V444_0,1.4992,3,AIR,0.0484
28,V444_0,3.4552,3,AIR,0.0824
29,V444_0,835.3643315508043,0,GROUND,12.2784
30,V444_0,1.901152,3,AIR,0.0484
31,V444_0,3.4552,3,AIR,0.0824
32,V444_0,3.4552,3,AIR,0.0824
33,V444_0,1.4992,3,AIR,0.0484
34,V444_0,3.4552,3,AIR,0.0824
35,V444_0,5.9996,3,AIR,0.0424
36,V444_0,1.4992,3,AIR,0.0484
37,V444_0,1.4992,3,AIR,0.0484
38,V444_0,4.399368161642616,3,AIR,0.0824
39,V444_0,1.4992,3,AIR,0.0484
40,V444_0,1.4992,3,AIR,0.0484
41,V444_0,3.4552,3,AIR,0.0824
42,V444_0,1.4992,3,AIR,0.0484
43,V444_0,1.4992,3,AIR,0.0484
